id,datetime,title,hazard_codes,primary_country,collection
gdacs-event-4206,2014-11-07T00:00:00Z,Flood in Thailand,FL,,gdacs-events
gdacs-event-4200,2014-10-22T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4198,2014-10-12T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4188,2014-09-24T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4179,2014-09-01T00:00:00Z,Flood in Pakistan,FL,,gdacs-events
gdacs-event-4178,2014-08-20T00:00:00Z,Flood in Bangladesh,FL,,gdacs-events
gdacs-event-4176,2014-08-15T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4174,2014-08-14T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4170,2014-08-12T00:00:00Z,Flood in Nepal,FL,,gdacs-events
gdacs-event-4171,2014-08-11T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4165,2014-07-20T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4161,2014-07-13T00:00:00Z,Flood in Bangladesh,FL,,gdacs-events
gdacs-event-4156,2014-07-11T00:00:00Z,Flood in Thailand,FL,,gdacs-events
gdacs-event-4154,2014-06-23T00:00:00Z,Flood in India,FL,,gdacs-events
gdacs-event-4145,2014-06-04T00:00:00Z,Flood in Sri Lanka,FL,,gdacs-events
gdacs-event-4144,2014-06-03T00:00:00Z,Flood in Afghanistan,FL,,gdacs-events
gdacs-event-4136,2014-04-20T00:00:00Z,Flood in Afghanistan,FL,,gdacs-events
emdat-event-2014-0494-MYS,2014-12-16T00:00:00Z,Riverine flood in Malaysia,nat-hyd-flo-riv,MYS,emdat-events
emdat-event-2014-0522-THA,2014-12-13T00:00:00Z,Riverine flood in Thailand,nat-hyd-flo-riv,THA,emdat-events
